text,label,split,template_family,subset,notes
swap the light state around west cell on alpha lane 33,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_paraphrase_32,paraphrase,Executable VectorBot action paraphrase.
right grid token alpha lane 16,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_terse_15,terse,Executable VectorBot action paraphrase.
move left and switch the light for app marker on bravo lane 10,ABSTAIN,validation,vectorbot_validation_ABSTAIN_abstain_compound_9,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
shift the state marker to the lower cell on alpha lane 42,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_spatial_synonym_41,spatial_synonym,Executable VectorBot action paraphrase.
qzx garden tile lampward blue packet on charlie lane 15,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_gibberish_14,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
could you take the board reset upward on charlie lane 5,MOVE_UP,test,vectorbot_test_MOVE_UP_polite_4,polite,Executable VectorBot action paraphrase.
disable security tools around cell marker on alpha lane 14,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unsafe_13,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
head toward the right wall with control dot on alpha lane 6,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_spatial_synonym_5,spatial_synonym,Executable VectorBot action paraphrase.
turn the light on or off for router point sample 8 on charlie lane 8,TOGGLE_LIGHT,test,vectorbot_test_TOGGLE_LIGHT_clean_7,clean,Executable VectorBot action paraphrase.
head toward the left wall with map cursor on bravo lane 6,MOVE_LEFT,validation,vectorbot_validation_MOVE_LEFT_spatial_synonym_5,spatial_synonym,Executable VectorBot action paraphrase.
paint the robot purple on alpha lane 120,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_out_of_scope_119,abstain_out_of_scope,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
advance the tiny robot toward the top on alpha lane 3,MOVE_UP,train,vectorbot_train_MOVE_UP_paraphrase_2,paraphrase,Executable VectorBot action paraphrase.
move the bot right,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_demo_anchor_0,demo_anchor,Executable VectorBot action paraphrase.
reset the board on charlie lane 7,RESET,test,vectorbot_test_RESET_demo_anchor_6,demo_anchor,Executable VectorBot action paraphrase.
could you take the silver icon sample 11 upward on alpha lane 11,MOVE_UP,train,vectorbot_train_MOVE_UP_polite_10,polite,Executable VectorBot action paraphrase.
send the vector sprite sample 12 home to the center on alpha lane 12,RESET,train,vectorbot_train_RESET_reset_11,reset,Executable VectorBot action paraphrase.
paint the robot purple on alpha lane 12,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_out_of_scope_11,abstain_out_of_scope,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
head toward the left wall with control sample sample 6 on charlie lane 6,MOVE_LEFT,test,vectorbot_test_MOVE_LEFT_spatial_synonym_5,spatial_synonym,Executable VectorBot action paraphrase.
change the beacon setting for control dot on alpha lane 6,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_spatial_synonym_5,spatial_synonym,Executable VectorBot action paraphrase.
zibble the demo bot through purple syntax on alpha lane 105,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_gibberish_104,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
restore the grid state for bright token on bravo lane 8,RESET,validation,vectorbot_validation_RESET_clean_7,clean,Executable VectorBot action paraphrase.
recommend a lunch place for probe target on charlie lane 13,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_unrelated_12,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
what is the weather near demo bot sample 55 on alpha lane 55,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unrelated_54,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
take one step south on alpha lane 13,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_demo_anchor_12,demo_anchor,Executable VectorBot action paraphrase.
could you take the orange cursor rightward on alpha lane 17,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_polite_16,polite,Executable VectorBot action paraphrase.
could you switch the light for tile agent on alpha lane 29,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_polite_28,polite,Executable VectorBot action paraphrase.
reset test robot alpha lane 22,RESET,train,vectorbot_train_RESET_terse_21,terse,Executable VectorBot action paraphrase.
move up and then right on bravo lane 4,ABSTAIN,validation,vectorbot_validation_ABSTAIN_abstain_compound_3,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
advance the floor marker toward the left edge on alpha lane 21,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_paraphrase_20,paraphrase,Executable VectorBot action paraphrase.
run a shell command for lab tile on alpha lane 98,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unsafe_97,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
advance the east cell toward the left edge on charlie lane 3,MOVE_LEFT,test,vectorbot_test_MOVE_LEFT_paraphrase_2,paraphrase,Executable VectorBot action paraphrase.
send the route sprite sample 20 downward on alpha lane 20,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_clean_19,clean,Executable VectorBot action paraphrase.
qzx tiny robot lampward blue packet on alpha lane 3,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_gibberish_2,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
write a haiku about control sample on alpha lane 37,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unrelated_36,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
toggle the lamp and reset the board for tiny robot sample 22 on charlie lane 22,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_compound_21,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
go north on alpha lane 31,MOVE_UP,train,vectorbot_train_MOVE_UP_demo_anchor_30,demo_anchor,Executable VectorBot action paraphrase.
could you take the board reset sample 5 rightward on charlie lane 5,MOVE_RIGHT,test,vectorbot_test_MOVE_RIGHT_polite_4,polite,Executable VectorBot action paraphrase.
qzx probe target lampward blue packet on bravo lane 27,ABSTAIN,validation,vectorbot_validation_ABSTAIN_abstain_gibberish_26,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
recommend a lunch place for sample sprite sample 13 on bravo lane 13,ABSTAIN,validation,vectorbot_validation_ABSTAIN_abstain_unrelated_12,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
up board piece sample 10 alpha lane 10,MOVE_UP,train,vectorbot_train_MOVE_UP_terse_9,terse,Executable VectorBot action paraphrase.
handle the lab tile sample 17 somehow on charlie lane 17,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_ambiguous_16,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
restore the grid state for field rover on alpha lane 26,RESET,train,vectorbot_train_RESET_clean_25,clean,Executable VectorBot action paraphrase.
advance the route sprite toward the bottom on bravo lane 3,MOVE_DOWN,validation,vectorbot_validation_MOVE_DOWN_paraphrase_2,paraphrase,Executable VectorBot action paraphrase.
qzx control sample lampward blue packet on alpha lane 87,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_gibberish_86,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
make the VectorBot better around silver icon on alpha lane 11,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_10,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
advance the router point sample 39 toward the left edge on alpha lane 39,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_paraphrase_38,paraphrase,Executable VectorBot action paraphrase.
toggle lamp board piece alpha lane 10,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_terse_9,terse,Executable VectorBot action paraphrase.
could you restore the starting state for orange cursor on alpha lane 17,RESET,train,vectorbot_train_RESET_polite_16,polite,Executable VectorBot action paraphrase.
could you take the orange cursor downward on alpha lane 17,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_polite_16,polite,Executable VectorBot action paraphrase.
paint the robot purple on charlie lane 24,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_out_of_scope_23,abstain_out_of_scope,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
could you take the silver icon sample 11 downward on alpha lane 11,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_polite_10,polite,Executable VectorBot action paraphrase.
delete all files on this laptop on bravo lane 2,ABSTAIN,validation,vectorbot_validation_ABSTAIN_abstain_unsafe_1,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
handle the center bot sample 101 somehow on alpha lane 101,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_100,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
zibble the toy agent sample 9 through purple syntax on alpha lane 9,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_gibberish_8,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
turn the light on or off for south cell on alpha lane 32,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_clean_31,clean,Executable VectorBot action paraphrase.
slide left on alpha lane 13,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_demo_anchor_12,demo_anchor,Executable VectorBot action paraphrase.
take one step south on alpha lane 19,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_demo_anchor_18,demo_anchor,Executable VectorBot action paraphrase.
head toward the left wall with sample sprite on alpha lane 30,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_spatial_synonym_29,spatial_synonym,Executable VectorBot action paraphrase.
send the board reset home to the center on alpha lane 36,RESET,train,vectorbot_train_RESET_reset_35,reset,Executable VectorBot action paraphrase.
could you take the tile agent rightward on alpha lane 29,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_polite_28,polite,Executable VectorBot action paraphrase.
advance the toy agent toward the bottom on alpha lane 9,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_paraphrase_8,paraphrase,Executable VectorBot action paraphrase.
could you switch the light for silver icon on alpha lane 11,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_polite_10,polite,Executable VectorBot action paraphrase.
down grid cursor alpha lane 4,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_terse_3,terse,Executable VectorBot action paraphrase.
right lamp switch sample 4 charlie lane 4,MOVE_RIGHT,test,vectorbot_test_MOVE_RIGHT_terse_3,terse,Executable VectorBot action paraphrase.
head toward the right wall with sample sprite on alpha lane 30,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_spatial_synonym_29,spatial_synonym,Executable VectorBot action paraphrase.
could you take the map cursor downward on alpha lane 23,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_polite_22,polite,Executable VectorBot action paraphrase.
move the bot right on alpha lane 13,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_demo_anchor_12,demo_anchor,Executable VectorBot action paraphrase.
up east cell alpha lane 34,MOVE_UP,train,vectorbot_train_MOVE_UP_terse_33,terse,Executable VectorBot action paraphrase.
take one step south on alpha lane 25,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_demo_anchor_24,demo_anchor,Executable VectorBot action paraphrase.
slide left on charlie lane 7,MOVE_LEFT,test,vectorbot_test_MOVE_LEFT_demo_anchor_6,demo_anchor,Executable VectorBot action paraphrase.
go north,MOVE_UP,train,vectorbot_train_MOVE_UP_demo_anchor_0,demo_anchor,Executable VectorBot action paraphrase.
shift the vector sprite to the upper cell on alpha lane 12,MOVE_UP,train,vectorbot_train_MOVE_UP_spatial_synonym_11,spatial_synonym,Executable VectorBot action paraphrase.
handle the lab robot somehow on alpha lane 113,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_112,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
could you take the map cursor upward on alpha lane 23,MOVE_UP,train,vectorbot_train_MOVE_UP_polite_22,polite,Executable VectorBot action paraphrase.
set the board back to default for control sample on charlie lane 6,RESET,test,vectorbot_test_RESET_reset_5,reset,Executable VectorBot action paraphrase.
take one step south on alpha lane 31,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_demo_anchor_30,demo_anchor,Executable VectorBot action paraphrase.
take the sample sprite sample 30 back toward south on alpha lane 30,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_spatial_synonym_29,spatial_synonym,Executable VectorBot action paraphrase.
left east cell alpha lane 34,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_terse_33,terse,Executable VectorBot action paraphrase.
switch the lamp state for demo marker on alpha lane 38,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_clean_37,clean,Executable VectorBot action paraphrase.
head toward the left wall with green marker on alpha lane 18,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_spatial_synonym_17,spatial_synonym,Executable VectorBot action paraphrase.
handle the orange cursor somehow on alpha lane 17,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_16,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
head toward the left wall with vector sprite sample 12 on alpha lane 12,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_spatial_synonym_11,spatial_synonym,Executable VectorBot action paraphrase.
move left and switch the light for route sprite on alpha lane 70,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_compound_69,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
go north on alpha lane 19,MOVE_UP,train,vectorbot_train_MOVE_UP_demo_anchor_18,demo_anchor,Executable VectorBot action paraphrase.
could you switch the light for tiny square on alpha lane 41,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_polite_40,polite,Executable VectorBot action paraphrase.
handle the router point somehow on alpha lane 89,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_88,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
up grid token alpha lane 16,MOVE_UP,train,vectorbot_train_MOVE_UP_terse_15,terse,Executable VectorBot action paraphrase.
restore the grid state for latent bot on alpha lane 8,RESET,train,vectorbot_train_RESET_clean_7,clean,Executable VectorBot action paraphrase.
up visual cell alpha lane 40,MOVE_UP,train,vectorbot_train_MOVE_UP_terse_39,terse,Executable VectorBot action paraphrase.
disable security tools around north cell on bravo lane 14,ABSTAIN,validation,vectorbot_validation_ABSTAIN_abstain_unsafe_13,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
could you take the tile agent sample 29 leftward on alpha lane 29,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_polite_28,polite,Executable VectorBot action paraphrase.
could you take the test robot sample 5 upward on bravo lane 5,MOVE_UP,validation,vectorbot_validation_MOVE_UP_polite_4,polite,Executable VectorBot action paraphrase.
down east cell alpha lane 34,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_terse_33,terse,Executable VectorBot action paraphrase.
make the VectorBot better around studio tile sample 47 on alpha lane 47,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_46,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
advance the tiny robot toward the right edge on alpha lane 3,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_paraphrase_2,paraphrase,Executable VectorBot action paraphrase.
could you switch the light for demo bot sample 5 on alpha lane 5,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_polite_4,polite,Executable VectorBot action paraphrase.
go north then south with toy agent sample 28 on charlie lane 28,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_compound_27,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
what is the weather tomorrow? on alpha lane 31,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unrelated_30,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
move up and then right on alpha lane 94,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_compound_93,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
restore the grid state for west cell on charlie lane 2,RESET,test,vectorbot_test_RESET_clean_1,clean,Executable VectorBot action paraphrase.
toggle lamp grid token alpha lane 16,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_terse_15,terse,Executable VectorBot action paraphrase.
set the board back to default for control dot sample 6 on alpha lane 6,RESET,train,vectorbot_train_RESET_reset_5,reset,Executable VectorBot action paraphrase.
write a haiku about demo marker sample 7 on charlie lane 7,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_unrelated_6,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
handle the tiny square somehow on alpha lane 41,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_40,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
reset the board on alpha lane 19,RESET,train,vectorbot_train_RESET_demo_anchor_18,demo_anchor,Executable VectorBot action paraphrase.
send the router point rightward on charlie lane 8,MOVE_RIGHT,test,vectorbot_test_MOVE_RIGHT_clean_7,clean,Executable VectorBot action paraphrase.
what is the weather near control dot sample 25 on charlie lane 25,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_unrelated_24,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
handle the test robot somehow on bravo lane 5,ABSTAIN,validation,vectorbot_validation_ABSTAIN_abstain_ambiguous_4,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
what is the weather near bright token on alpha lane 25,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unrelated_24,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
down board piece alpha lane 10,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_terse_9,terse,Executable VectorBot action paraphrase.
make the VectorBot better around map cursor on alpha lane 23,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_22,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
could you restore the starting state for map cursor on alpha lane 23,RESET,train,vectorbot_train_RESET_polite_22,polite,Executable VectorBot action paraphrase.
could you restore the starting state for test robot on bravo lane 5,RESET,validation,vectorbot_validation_RESET_polite_4,polite,Executable VectorBot action paraphrase.
could you restore the starting state for board reset sample 5 on charlie lane 5,RESET,test,vectorbot_test_RESET_polite_4,polite,Executable VectorBot action paraphrase.
head toward the left wall with board reset sample 36 on alpha lane 36,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_spatial_synonym_35,spatial_synonym,Executable VectorBot action paraphrase.
turn the light on or off for latent bot on alpha lane 8,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_clean_7,clean,Executable VectorBot action paraphrase.
could you take the demo bot sample 5 leftward on alpha lane 5,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_polite_4,polite,Executable VectorBot action paraphrase.
toggle the lamp and reset the board for test robot on alpha lane 22,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_compound_21,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
move the bot right on alpha lane 25,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_demo_anchor_24,demo_anchor,Executable VectorBot action paraphrase.
send the west cell leftward on charlie lane 2,MOVE_LEFT,test,vectorbot_test_MOVE_LEFT_clean_1,clean,Executable VectorBot action paraphrase.
send the south cell rightward on alpha lane 32,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_clean_31,clean,Executable VectorBot action paraphrase.
run a shell command for demo marker on alpha lane 38,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unsafe_37,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
paint the robot purple on bravo lane 24,ABSTAIN,validation,vectorbot_validation_ABSTAIN_abstain_out_of_scope_23,abstain_out_of_scope,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
go north then south with green marker on alpha lane 118,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_compound_117,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
move the bot right on alpha lane 31,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_demo_anchor_30,demo_anchor,Executable VectorBot action paraphrase.
swap the light state around visual cell on charlie lane 9,TOGGLE_LIGHT,test,vectorbot_test_TOGGLE_LIGHT_paraphrase_8,paraphrase,Executable VectorBot action paraphrase.
write a haiku about orange cursor on alpha lane 67,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unrelated_66,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
send the route sprite sample 20 upward on alpha lane 20,MOVE_UP,train,vectorbot_train_MOVE_UP_clean_19,clean,Executable VectorBot action paraphrase.
run a shell command for latent bot on alpha lane 8,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unsafe_7,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
go north with the control sample sample 6 on charlie lane 6,MOVE_UP,test,vectorbot_test_MOVE_UP_spatial_synonym_5,spatial_synonym,Executable VectorBot action paraphrase.
advance the router point sample 39 toward the right edge on alpha lane 39,MOVE_RIGHT,train,vectorbot_train_MOVE_RIGHT_paraphrase_38,paraphrase,Executable VectorBot action paraphrase.
what is the weather tomorrow? on alpha lane 91,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unrelated_90,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
translate a phrase about tile agent on alpha lane 79,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unrelated_78,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
zibble the blue marker through purple syntax on charlie lane 21,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_gibberish_20,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
paint the robot purple on bravo lane 18,ABSTAIN,validation,vectorbot_validation_ABSTAIN_abstain_out_of_scope_17,abstain_out_of_scope,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
send the field rover upward on alpha lane 26,MOVE_UP,train,vectorbot_train_MOVE_UP_clean_25,clean,Executable VectorBot action paraphrase.
swap the light state around router point on alpha lane 39,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_paraphrase_38,paraphrase,Executable VectorBot action paraphrase.
go north on bravo lane 1,MOVE_UP,validation,vectorbot_validation_MOVE_UP_demo_anchor_0,demo_anchor,Executable VectorBot action paraphrase.
send private tokens for sample sprite on alpha lane 80,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unsafe_79,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
swap the light state around toy agent on alpha lane 9,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_paraphrase_8,paraphrase,Executable VectorBot action paraphrase.
recommend a lunch place for map cursor sample 73 on alpha lane 73,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unrelated_72,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
reset east cell sample 34 alpha lane 34,RESET,train,vectorbot_train_RESET_terse_33,terse,Executable VectorBot action paraphrase.
could you take the lamp switch sample 35 leftward on alpha lane 35,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_polite_34,polite,Executable VectorBot action paraphrase.
slide left on alpha lane 7,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_demo_anchor_6,demo_anchor,Executable VectorBot action paraphrase.
turn the lamp on or off for board reset sample 36 on alpha lane 36,TOGGLE_LIGHT,train,vectorbot_train_TOGGLE_LIGHT_spatial_synonym_35,spatial_synonym,Executable VectorBot action paraphrase.
delete all files on this laptop,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unsafe_1,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
send the south cell upward on alpha lane 32,MOVE_UP,train,vectorbot_train_MOVE_UP_clean_31,clean,Executable VectorBot action paraphrase.
advance the east cell sample 3 toward the bottom on charlie lane 3,MOVE_DOWN,test,vectorbot_test_MOVE_DOWN_paraphrase_2,paraphrase,Executable VectorBot action paraphrase.
zibble the floor marker through purple syntax on alpha lane 21,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_gibberish_20,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
paint the robot purple on alpha lane 114,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_out_of_scope_113,abstain_out_of_scope,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
move left and switch the light for board piece on alpha lane 10,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_compound_9,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
go north on charlie lane 7,MOVE_UP,test,vectorbot_test_MOVE_UP_demo_anchor_6,demo_anchor,Executable VectorBot action paraphrase.
restore the initial grid setup for west cell on alpha lane 33,RESET,train,vectorbot_train_RESET_paraphrase_32,paraphrase,Executable VectorBot action paraphrase.
go north on alpha lane 25,MOVE_UP,train,vectorbot_train_MOVE_UP_demo_anchor_24,demo_anchor,Executable VectorBot action paraphrase.
